Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
34,468,468,423.803,14.744,0.325,576,589,2,24,0,5,583.058,12.169,1.115
36,1498,1498,1126.087,24.493,0.178,515,551,2,24,0,5,534.650,12.563,1.260
37,1798,1798,1300.212,26.260,0.166,547,581,3,25,0,7,562.910,14.040,1.448
38,2395,2395,1509.318,26.868,0.189,1814,1841,2,35,0,7,1829.399,14.931,1.830
39,559,559,533.766,15.001,0.232,1840,1857,4,23,0,4,1846.390,12.962,0.936
40,747,747,952.931,23.122,0.073,870,902,9,32,0,3,886.992,19.498,0.482
41,2083,2083,1416.338,28.752,0.173,1072,1098,10,49,0,7,1083.837,26.342,1.855
42,8668,8668,4748.190,54.533,0.079,509,589,7,57,0,8,548.534,31.957,1.929
44,308828,308828,28851.179,105.769,0.449,637,750,13,145,0,47,694.130,77.498,16.973
45,967,967,713.385,18.263,0.291,161,187,16,36,0,9,171.879,26.538,1.819
46,836,836,845.272,20.388,0.131,65,87,8,36,0,6,75.566,23.648,0.895
47,69054,69054,22364.527,112.853,0.048,468,576,4,180,0,14,517.448,103.924,3.032
48,2185,2185,1810.761,30.259,0.091,1086,1121,18,58,0,7,1102.145,35.211,1.257
49,1197,1197,796.540,19.625,0.321,239,262,22,45,0,9,251.939,30.250,2.266
50,303,303,348.208,15.084,0.246,1118,1144,20,32,0,5,1132.112,25.706,0.881
51,380,380,378.019,13.117,0.302,1744,1756,21,40,0,5,1749.263,29.118,0.945
52,272,272,353.499,12.923,0.189,644,658,23,43,0,4,650.989,31.048,0.607
53,870,870,843.748,22.770,0.143,1838,1857,22,53,0,4,1845.868,34.825,0.879
54,1602,1602,1714.091,33.987,0.058,432,476,11,46,0,5,450.555,30.540,0.732
55,860,860,692.260,19.409,0.252,1915,1937,23,47,0,8,1925.767,34.449,1.510
56,2741,2741,1414.572,25.765,0.300,1372,1403,25,56,0,8,1390.950,40.267,2.332
57,631,631,661.969,19.863,0.155,1005,1026,26,53,0,8,1017.796,40.582,1.208
58,2050,2050,1280.250,24.544,0.227,1819,1846,27,57,0,7,1832.225,42.704,1.878
59,309673,309673,27739.998,102.030,0.508,238,351,8,137,0,47,295.504,68.954,17.949
60,566,566,580.085,16.780,0.186,870,895,31,51,0,3,884.380,40.311,0.712
61,370893,370893,32654.379,113.269,0.447,139,256,24,168,0,45,199.129,89.173,17.316
62,786,786,778.615,21.985,0.148,430,465,34,51,0,6,444.276,43.648,0.983
63,17495,17495,6729.588,61.985,0.114,713,771,35,117,0,17,746.745,67.720,3.663
64,10758,10758,5685.314,55.934,0.071,900,974,31,93,0,10,938.284,64.328,2.062
65,5560,5560,3841.827,45.187,0.062,67,127,28,74,0,7,97.775,52.112,1.429
66,884,884,960.989,24.029,0.100,856,892,35,62,0,4,876.465,50.753,0.686
67,1248,1248,924.436,22.487,0.223,1211,1229,37,74,0,7,1218.292,54.535,1.511
68,4919,4919,3411.950,46.112,0.069,115,167,30,94,0,7,139.068,60.733,1.437
69,997,997,879.994,22.239,0.165,1730,1753,34,66,0,6,1743.184,49.972,1.084
71,129356,129356,23974.123,158.271,0.137,1962,2048,1,150,0,61,2019.444,75.094,30.540
72,1645,1645,1443.395,28.281,0.102,1109,1146,37,71,0,6,1127.389,54.529,1.018
73,1342,1342,1223.527,27.645,0.111,222,249,43,80,0,7,235.130,59.394,1.025
74,1395,1395,1282.103,28.356,0.104,1895,1924,45,82,0,6,1909.348,63.038,0.969
75,487086,487086,41369.905,129.107,0.379,1001,1157,16,159,0,44,1082.479,87.345,17.226
76,150768,150768,43649.506,197.389,0.031,514,686,32,277,0,16,587.936,180.906,4.069
77,377639,377639,33935.415,115.466,0.413,746,891,37,166,0,45,822.930,102.180,17.498
78,402866,402866,35468.628,119.386,0.411,1884,2019,51,193,0,48,1947.660,114.603,19.767
79,575,575,602.480,17.875,0.171,1612,1638,55,72,0,6,1623.249,63.203,1.042
80,317,317,366.283,17.441,0.231,2043,2048,58,89,0,6,2045.817,70.577,1.274
81,204,204,246.588,12.262,0.314,767,775,52,72,0,5,769.451,63.951,0.868
82,817,817,909.546,22.308,0.100,1139,1166,47,78,0,4,1151.901,63.082,0.663
83,2439,2439,1740.956,32.226,0.128,1819,1866,52,77,0,9,1837.682,63.740,1.738
84,128431,128431,31633.202,145.582,0.059,399,515,52,268,0,18,459.384,175.530,4.942
85,1209,1209,778.601,17.937,0.350,887,909,56,78,0,7,897.704,65.943,1.904
86,211,211,234.934,10.584,0.388,1741,1749,62,79,0,4,1744.758,68.355,0.938
87,2533,2533,2401.065,36.606,0.052,2002,2040,50,93,0,7,2023.644,70.591,0.956
88,426,426,463.026,19.087,0.207,2036,2045,57,88,0,6,2040.833,69.653,1.350
89,2438,2438,1863.963,34.169,0.104,843,892,44,78,0,8,864.119,61.001,1.382
90,767,767,762.067,22.758,0.150,1867,1890,66,96,0,6,1880.885,76.730,0.931
91,1887,1887,1500.371,31.471,0.119,1111,1150,56,91,0,7,1133.920,71.880,1.402
92,140896,140896,37632.029,152.597,0.042,259,420,46,237,0,17,350.490,159.072,4.305
93,1104,1104,1078.916,26.664,0.110,553,582,65,101,0,4,562.908,78.193,0.736
94,818,818,713.617,18.434,0.208,227,250,66,89,0,5,239.131,76.674,1.106
95,221,221,302.821,12.534,0.199,1526,1542,68,83,0,3,1532.887,75.158,0.407
96,303568,303568,29429.505,109.463,0.409,1600,1732,46,169,0,48,1663.458,102.753,19.253
97,298,298,345.811,12.749,0.243,1807,1823,72,91,0,4,1815.477,81.399,0.721
98,776,776,899.122,26.432,0.094,37,75,61,97,0,5,56.750,77.106,0.692
99,436909,436909,37138.552,121.446,0.421,13,160,39,175,0,48,92.907,107.070,18.875
100,301952,301952,29311.245,109.630,0.409,1795,1928,37,166,0,52,1860.544,97.108,21.284
101,777,777,848.633,19.811,0.112,565,592,68,92,0,3,577.538,81.893,0.634
102,526,526,479.333,14.508,0.284,1892,1909,74,95,0,6,1901.057,83.540,1.124
103,2100,2100,1502.079,29.637,0.147,1586,1616,65,110,0,8,1600.899,87.522,1.662
104,401,401,437.790,15.128,0.217,1191,1210,78,98,0,4,1200.377,88.362,0.786
105,938,938,910.104,19.568,0.132,1120,1144,80,104,0,4,1133.959,91.560,0.838
106,19019,19019,9702.583,78.134,0.045,1502,1604,72,144,0,11,1544.293,107.935,2.017
107,47174,47174,19554.356,134.315,0.034,1135,1256,73,244,0,11,1189.629,166.762,2.607
108,1212,1212,1034.794,23.157,0.150,1886,1911,84,117,0,7,1895.568,100.581,1.295
109,4592,4592,2495.329,38.706,0.153,858,905,75,118,0,12,877.395,97.202,2.531
110,207,207,296.565,12.175,0.186,1174,1191,81,95,0,3,1182.783,89.053,0.415
111,1468,1468,1295.857,25.936,0.112,230,252,81,121,0,6,242.196,98.651,1.071
112,1067,1067,931.203,22.116,0.159,139,157,84,118,0,5,146.309,101.846,1.089
113,526554,526554,43309.072,132.326,0.386,857,1018,55,206,0,47,942.537,130.282,17.847
114,749,749,727.039,21.141,0.165,1743,1776,91,111,0,4,1758.722,100.909,0.806
115,1635,1635,1377.332,28.077,0.116,558,585,89,128,0,4,572.739,106.204,0.998
116,759,759,769.821,21.712,0.143,1977,2008,86,110,0,5,1990.751,99.128,0.912
117,1353,1353,1135.292,23.269,0.141,1123,1148,102,129,0,7,1136.560,114.520,1.222
118,849,849,799.634,22.173,0.159,583,602,86,120,0,4,591.689,103.084,0.967
119,44086,44086,17406.239,107.507,0.042,1747,1838,88,236,0,12,1789.400,162.817,2.717
120,286,286,338.851,12.884,0.238,1971,1987,101,118,0,4,1978.108,109.591,0.678
121,184577,184577,23858.447,105.061,0.284,1956,2048,56,198,0,35,2016.994,133.462,11.902
122,1080,1080,1389.527,29.060,0.049,1720,1761,99,128,0,2,1741.312,112.844,0.365
123,370,370,362.007,12.471,0.326,579,591,103,122,0,3,583.976,113.597,0.811
124,7101,7101,4563.989,57.391,0.060,975,1026,87,171,0,8,1002.834,133.582,1.638
125,153,153,215.048,10.554,0.266,0,7,115,133,0,5,1.837,123.817,0.641
126,640,640,628.911,19.297,0.186,3,19,114,144,0,6,11.644,128.339,0.981
127,1580,1580,1599.932,33.896,0.069,1562,1596,118,166,0,5,1579.931,135.749,0.824
128,509,509,568.642,16.457,0.159,711,733,109,132,0,5,723.208,121.428,0.739
129,201,201,269.356,11.145,0.234,1734,1752,122,133,0,2,1742.254,127.095,0.413
130,682,682,622.161,16.373,0.218,233,249,123,150,0,5,240.545,135.915,1.060
131,235014,235014,65086.686,258.898,0.023,1444,1616,123,475,0,17,1524.927,323.383,4.043
132,203,203,323.628,12.141,0.138,1722,1736,127,142,0,2,1729.266,135.044,0.222
133,346,346,380.680,13.533,0.245,1676,1689,124,145,0,4,1682.480,135.029,0.890
134,3466,3466,2741.239,40.146,0.066,138,184,113,167,0,8,158.631,137.210,1.331
135,2477,2477,1893.950,30.336,0.102,847,879,115,157,0,7,862.803,138.053,1.388
136,132,132,201.139,10.680,0.242,1529,1545,136,148,0,2,1535.682,141.068,0.326
137,3154,3154,1986.508,36.250,0.144,673,719,125,160,0,8,697.958,144.915,1.887
138,2092,2092,1511.683,26.618,0.143,1101,1139,129,154,0,8,1121.321,142.172,1.514
139,342,342,367.814,14.931,0.266,1022,1034,132,154,0,6,1025.687,141.851,1.661
140,2138,2138,1574.626,30.533,0.132,1875,1908,107,151,0,7,1889.355,129.268,1.407
141,2382,2382,1676.966,32.260,0.136,1578,1610,117,161,0,6,1596.678,140.555,1.416
142,647,647,604.732,21.689,0.214,1015,1028,130,164,0,6,1019.719,146.692,1.484
143,752917,752917,126353.296,597.047,0.032,704,1105,61,367,0,61,904.631,195.417,30.637
144,892,892,714.214,19.650,0.247,1027,1047,136,162,0,7,1034.172,146.548,1.497
145,1004,1004,1158.369,25.532,0.073,1735,1763,125,158,0,3,1748.597,142.981,0.498
146,64949,64949,11434.077,80.192,0.319,0,28,96,231,0,41,9.269,158.026,17.892
147,343673,343673,33943.635,117.519,0.342,1674,1829,78,194,0,49,1756.700,136.476,20.509
148,513,513,560.201,18.403,0.169,1032,1058,142,164,0,5,1045.363,151.435,0.797
149,733,733,634.352,16.922,0.238,1049,1069,145,165,0,6,1058.925,153.759,1.246
150,254,254,288.994,11.297,0.302,1834,1847,144,157,0,4,1839.760,151.736,0.720
151,594,594,567.374,15.769,0.218,1139,1160,147,169,0,5,1150.483,155.167,0.985
152,565,565,453.831,15.106,0.386,1599,1617,141,160,0,6,1606.556,151.074,1.704
153,793,793,933.971,31.637,0.087,1725,1764,146,173,0,5,1748.632,158.503,0.724
154,1999,1999,1484.471,29.953,0.138,1892,1913,129,180,0,5,1902.301,155.202,1.311
155,1243,1243,1112.256,31.066,0.127,16,31,142,197,0,7,23.232,167.319,1.167
156,30429,30429,14547.372,106.391,0.034,807,912,136,256,0,9,858.525,204.744,1.967
157,7039,7039,3419.010,45.486,0.140,1860,1913,136,195,0,9,1885.526,166.112,2.453
158,351,351,439.319,15.199,0.164,217,236,144,164,0,4,228.516,153.131,0.607
159,79151,79151,29735.110,127.052,0.027,25,144,139,308,0,13,77.700,226.150,2.722
160,821,821,820.480,20.702,0.138,643,675,148,166,0,6,656.564,155.593,1.116
161,2873,2873,1949.653,36.163,0.126,1063,1105,140,181,0,9,1079.089,156.288,1.994
162,1588,1588,1203.179,22.815,0.164,1147,1177,151,184,0,6,1164.084,164.588,1.351
163,340030,340030,82133.368,271.284,0.024,1551,1748,140,511,0,19,1634.782,327.640,4.617
164,260,260,339.265,14.017,0.196,1525,1538,150,169,0,2,1530.373,159.815,0.412
165,394196,394196,32443.920,111.694,0.515,1088,1213,121,254,0,51,1151.239,185.408,22.585
166,3460,3460,2089.138,34.403,0.148,1844,1875,146,197,0,8,1858.459,169.233,1.784
167,48,48,85.948,6.693,0.410,1532,1541,164,172,0,2,1536.375,167.917,0.250
